label,final,fullnopunc
entailment,woman green headscarf blue shirt big grin,A woman with a green headscarf blue shirt and a very big grin
entailment,land rover driven across river,A land rover is being driven across a river
entailment,young family enjoys feeling ocean wave lap foot,A young family enjoys feeling ocean waves lap at their feet
entailment,male blue jacket decides lay grass,Male in a blue jacket decides to lay in the grass
entailment,man black shirt looking bike workshop,A man in a black shirt is looking at a bike in a workshop
entailment,man looking bicycle rear wheel maintenance garage various tool visible background,A man looking over a bicycles rear wheel in the maintenance garage with various tools visible in the background
entailment,three boy white shirt walking behind older model ford car,Three boys in white shirts are walking behind an older model Ford car
entailment,crowd people looking 3 people edge roof building,A crowd of people looking up at 3 people on the edge of the roof of a building
entailment,"many people standing outside place talking front building sign say ""hi-pointe""","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE"""
entailment,man woman taking picture woman scarf walk them,A man and woman are taking a picture of themselves while a woman in a scarf walks by them
entailment,tattooed basketball player dunk ball,The tattooed basketball player is about to dunk the ball
entailment,man woman child get picture taken front mountain,A man woman and child get their picture taken in front of the mountains
entailment,person orange clothing rest metro entrance,A person in orange clothing rests above a metro entrance
entailment,frowning old man military cap civilian suit stand amongst crowd people outdoors carrying sign balloon,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons
entailment,girl red coat blue head wrap jean making snow angel,Girl in a red coat blue head wrap and jeans is making a snow angel
entailment,group people wearing black shirt riding open top vehicle,Group of people wearing black shirts riding in an open top vehicle
entailment,two men prepare fish dock,Two men prepare a fish at a dock
entailment,sun break tree child ride swing,The sun breaks through the trees as a child rides a swing
entailment,everyone street city seem busy thing,Everyone on the street in the city seem to be busy doing their own thing
entailment,everyone street city seem busy thing,Everyone on the street in the city seem to be busy doing their own thing
entailment,several woman playing volleyball,Several women are playing volleyball
entailment,several woman playing volleyball,Several women are playing volleyball
entailment,middle eastern marketplace,A middle eastern marketplace
entailment,four men playing drum orange lighting one also drinking something bottle,Four men playing drums in very orange lighting while one of them is also drinking something out of a bottle
entailment,golden retriever nurse puppy,A golden retriever nurses puppies
entailment,girl great time looking seashell,These girls are having a great time looking for seashells
entailment,young man waring black carrying skateboard look outdoor skateboard park,A young man waring black and carrying a skateboard looks at an outdoor skateboard park
entailment,four boy hit approaching wave,Four boys are about to be hit by an approaching wave
entailment,man woman eating hotdog,Man and woman eating a hotdog
entailment,two small boy blue soccer uniform use wooden set step wash hand adult-sized bathroom,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom
entailment,six rescuer cooperate place injured man transport device snowy mountainous terrain,Six rescuers cooperate to place an injured man on a transport device in snowy mountainous terrain
entailment,busy street numerous people interacting going life,A busy street with numerous people interacting and going about their lives
entailment,pro-baseball pitcher sends curve ball opponent many fan relax enjoy game,A pro-baseball pitcher sends a curve ball to his opponent while many fans relax and enjoy the game
entailment,crowd wearing orange cheering team stadium,A crowd wearing orange cheering for their team in a stadium
entailment,dark-haired man wearing watch oven mitt cook meat kitchen,Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen
entailment,young child joyfully pull colorful tissue paper decorated box looking present,A young child joyfully pulls colorful tissue paper from a decorated box looking for his present
entailment,person dressed white black winter clothing leap narrow water-filled ditch one frost-covered field another female dressed black coat pant awaits,A person dressed in white and black winter clothing leaps a narrow water-filled ditch from one frost-covered field to another where a female dressed in black coat and pants awaits
entailment,old man looking sculpture,An old man looking over a sculpture
entailment,man cooking high flame,A man cooking over high flames
entailment,four woman taking walk icy road,Four women are taking a walk down an icy road
entailment,four men stand circle facing playing brass instrument people watch them,Four men stand in a circle facing each other playing brass instruments which people watch them
entailment,man shooting gun outdoors look like beautiful sunny day,A man is shooting a gun outdoors on what looks like a beautiful sunny day
entailment,man sitting floor sleeping,A man is sitting on the floor sleeping
entailment,man sitting floor sleeping,A man is sitting on the floor sleeping
entailment,wet child stand chest deep ocean water,A wet child stands in chest deep ocean water
entailment,three young girl winter clothing hat look disposable camera holding,Three young girls in winter clothing and hats look at disposable cameras they are holding
entailment,female gymnast black red coached bar skill,A female gymnast in black and red being coached on bar skills
entailment,man red shirt laying grass reaching another person,a man in a red shirt is laying on the grass reaching out to another person
entailment,skier ski-jumping two skier watch act,A Skier ski-jumping while two other skiers watch his act
entailment,three child hold boy arm another boy hat shoot water gun him,Three children hold a boys arms down while another boy in a hat shoots a water gun at him
entailment,closeup view guitarist red shirt standing outside group child playing around him,A closeup view of a guitarist in a red shirt standing outside with a group of children playing around him
entailment,boy wood,A boy in the woods
entailment,person yellow kayak riding rapid,This person in a yellow kayak is riding the rapids
entailment,child bathe water large drum,Children bathe in water from large drums
entailment,two boy swimming boogie board,The two boys are swimming with boogie boards
entailment,kid looking something table,kids are looking at something on a table
entailment,skateboarder sliding ramp,skateboarder sliding down a ramp
entailment,person dressed winter clothes pose snowman surrounded snow covered landscape,A person dressed in winter clothes poses with a snowman surrounded by snow covered landscape
entailment,group child getting picture taken present,There is a group of children getting their picture taken with presents
entailment,female bowler dressed blue another bowler background prepares throw ball lane,A female bowler dressed in blue with another bowler in the background prepares to throw a ball down the lane
entailment,indian men selling food item sidewalk,Indian men selling food items on the sidewalk
entailment,man walk cow dirt sidewalk,A man walks with a cow down a dirt sidewalk
entailment,people standing together front statue animal wearing cool-weather clothing,People are all standing together in front of a statue of an animal and they are all wearing cool-weather clothing
entailment,guy glass biting pink marshmallow chick somebody else puckering lip wanting bite,A guy in glasses is biting into a pink marshmallow chick while somebody else is puckering their lips out wanting a bite
entailment,organ grinder world war helmet clown makeup speaks older man blue striped polo shirt,An organ grinder in World War I helmet and clown makeup speaks to an older man in a blue striped polo shirt
entailment,player two opposing team wearing colorful cleat struggle gain control ball astroturf field,Players from two opposing teams wearing colorful cleats struggle to gain control over a ball on an AstroTurf field
entailment,four people standing hiking trail forest big tree log ground close them,four people standing on a hiking trail in a forest with big tree logs on the ground close to them
entailment,two young girl hang tinsel christmas tree room blue curtain,Two young girls hang tinsel on a Christmas tree in a room with blue curtains
entailment,man wearing graduation cap suit orange shawl walk front city shop,A man wearing a graduation cap a suit and an orange shawl walks in front of city shops
entailment,skateboarder getting ready perform half-tube rink tree background,A skateboarder getting ready to perform on a half-tube rink where there are trees in the background
entailment,first lady laura bush podium front seated audience white house conference global literacy,First Lady Laura Bush at podium in front of seated audience at the White House Conference on Global Literacy
entailment,first lady laura bush podium front seated audience white house conference global literacy,First Lady Laura Bush at podium in front of seated audience at the White House Conference on Global Literacy
entailment,one woman jean gray shirt sandals; girl pink watching white ball float midair,One woman with jeans gray shirt and sandals; with girl in all pink watching a white ball float in midair
entailment,black man blue suit talking cellphone smoking,A black man in a blue suit is talking on a cellphone while smoking
entailment,woman wearing black t-shirt green capri pant walk front giant clock,A woman wearing a black t-shirt and green capri pants walks in front of a giant clock
entailment,small asian child ride back woman wearing hat,A small Asian child rides on the back of a woman who is wearing a hat
entailment,man sweeping red broom,The man is sweeping with a red broom
entailment,two adult men black t-shirt loud tunic hold smoking torch preparation act entertainment celebration forested environment,Two adult men in black t-shirt and loud tunics hold smoking torches in preparation for an act of entertainment or celebration in a forested environment
entailment,patient worked doctor nurse,A patient is being worked on by doctors and nurses
entailment,"homeless man carry sign say ""hungry""","A homeless man carries a sign that says ""hungry"""
entailment,man show spider-web face paint,A man shows off his spider-web face paint
entailment,boy green pajama play toy mother sits couch watch him,Boy in green pajamas play with his toy while his mother sits on the couch and watches him
entailment,young boy holding red toy wearing green snowman reindeer pajama older woman couch behind him,A young boy holding a red toy wearing green snowman and reindeer pajamas with an older woman on a couch behind him
entailment,sport team member practice relax basketball court,Sports team members practice and relax on a basketball court
entailment,two people walk brick building colorful mural side,Two people walk up to a brick building with a colorful mural on its side
entailment,sungalsses vendor gaze distance,A sungalsses vendor gazes into the distance
entailment,ambulance passing man wearing bandanna girl,An Ambulance is passing a man wearing a bandanna and girl
entailment,man trying make pottery market soon,The man is trying to make a pottery that he can market soon
entailment,bicyclist ride course near ocean day come end,Bicyclist ride the course near the ocean as the day comes to an end
entailment,solo shot man riding four wheeler atv event,A solo shot of a man riding a four wheeler in an atv event
entailment,man son riding bike sidewalk,A man and his son riding bikes down the sidewalk
entailment,kid work computer teacher help,Kids work at computers with a teachers help
entailment,classroom mostly woman shown presentation,A classroom of mostly women is being shown a presentation
entailment,young middle eastern mother high heel holding young child lay head shoulder asleep gazing window,A young middle eastern mother in high heels holding her young child as he lays his head on her shoulder asleep is gazing out the window
entailment,three young men playing soccer beach wearing short beach attire people watch,Three young men are playing soccer in the beach wearing shorts and beach attire while some people watch
entailment,man steering ship sea,A man is steering his ship out at sea
entailment,one woman taking picture second woman lean table,One woman taking a picture of a second woman as she leans on a table
entailment,man wearing kilt thrown large pole,A man wearing a kilt has thrown a large pole
entailment,six men tuxedo stand next black metal fence outside back door marble building,Six men in tuxedos stand next to a black metal fence outside the back doors of a marble building
entailment,caucasian man wearing red plaid bottom black vest large button tattoo one arm upside unicycle balancing mouth,A caucasian man wearing red plaid bottoms and a black vest with large buttons with a tattoo on one arm has an upside down unicycle balancing on his mouth
entailment,kid practicing karate move,kid practicing karate move
entailment,boy short skateboard trick,A boy in shorts doing a skateboard trick
entailment,group people wearing white robe flame pattern posing picture sort festival,A group of people wearing white robes with flame pattern posing for a picture at some sort of festival
entailment,dark-skinned man wearing green cap backwards head grin crowd,A dark-skinned man wearing a green cap backwards on his head grins in a crowd
entailment,man chopping wood axe,Man chopping wood with an axe
entailment,three adult working garden near fence yard,Three adults are working in a garden near a fence in the yard
entailment,child buried sand,A child buried in the sand
entailment,guy rollerblade sliding across rail,A guy on Rollerblades sliding across a rail
entailment,man riding dirt bike air desert,A man is riding his dirt bike through the air in the desert
entailment,young asian girl wearing pink dress holding umbrella even though raining,A young Asian girl is wearing a pink dress and holding an umbrella even though it is not raining
entailment,young man wearing hoodie pant athletic shoe sitting red lounge chair watching hi-def tv,A young man wearing a hoodie pants and athletic shoes is sitting on a red lounge chair and watching hi-def tv
entailment,man laid back front tv,A man is laid back in front of a tv
entailment,man hard hat gray t-shirt holding cordless drill saluting front large american flag,A man in a hard hat gray t-shirt and holding a cordless drill saluting in front of a large American flag
entailment,man working top telephone pole,A man working at the top of a telephone pole
entailment,person wearing orange stocking chunky boot leg stretched grass,A person wearing orange stockings and chunky boots has her legs stretched out on the grass
entailment,man dark shirt yellow short yellow bandanna leap catch white frisbee soccer court,Man in dark shirt yellow shorts and yellow bandanna leaps to catch a white frisbee on a soccer court
entailment,female beach volleyball player either side net one looking spike ball teammate watch blue sky background,Female beach volleyball players on either side of a net with one looking to spike the ball as her teammate watches with the blue sky in the background
entailment,boy swing,A boy in a swing
entailment,man colorful shirt lady white blouse sign copy book people,A man in a colorful shirt and a lady in a white blouse sign copies of books for people
entailment,two skateboarder one wearing black t-shirt wearing white t-shirt race other,Two skateboarders one wearing a black t-shirt and the other wearing a white t-shirt race each other
entailment,young gymnast look back audience trying catch glimpse proud parent starting performance,A young gymnast looks back at the audience trying to catch a glimpse of her proud parents before starting her performance
entailment,man painting city scene canvas street,A man is painting a city scene on a canvas in the street
entailment,"group young adult ""x"" hand smiling","A group of young adults with ""X"" on their hands smiling"
entailment,people shopping vegetable outdoor market,People shopping for vegetables at an outdoor market
entailment,man black shirt skateboarding front step building,The man in the black shirt is skateboarding on the front steps of the building
entailment,lady pink long-sleeved blouse holding pink bag lap reach something guy next her,A lady in pink long-sleeved blouse is holding a pink bag in her lap as she reaches something to the guy next to her
entailment,three men dressed white shirt white hat (two baseball cap leader white construction helmet) pounding stick steel plastic drum,Three men dressed in white shirts and white hats (two with baseball caps the leader with a white construction helmet) pounding sticks on steel and plastic drums
