index,annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
,"['neutral', 'contradiction', 'contradiction', 'neutral', 'neutral']",2677109430.jpg#1,neutral,2677109430.jpg#1r1n,This church choir sings to the masses as they sing joyous songs from the book at a church.,( ( This ( church choir ) ) ( ( ( sings ( to ( the masses ) ) ) ( as ( they ( ( sing ( joyous songs ) ) ( from ( ( the book ) ( at ( a church ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT This) (NN church) (NN choir)) (VP (VBZ sings) (PP (TO to) (NP (DT the) (NNS masses))) (SBAR (IN as) (S (NP (PRP they)) (VP (VBP sing) (NP (JJ joyous) (NNS songs)) (PP (IN from) (NP (NP (DT the) (NN book)) (PP (IN at) (NP (DT a) (NN church))))))))) (. .))),The church has cracks in the ceiling.,( ( The church ) ( ( has ( cracks ( in ( the ceiling ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN church)) (VP (VBZ has) (NP (NP (NNS cracks)) (PP (IN in) (NP (DT the) (NN ceiling))))) (. .)))
,"['entailment', 'entailment', 'contradiction', 'entailment', 'neutral']",6160193920.jpg#4,entailment,6160193920.jpg#4r1e,"A woman with a green headscarf, blue shirt and a very big grin.","( ( ( A woman ) ( with ( ( ( ( ( a ( green headscarf ) ) , ) ( blue shirt ) ) and ) ( a ( ( very big ) grin ) ) ) ) ) . )","(ROOT (NP (NP (DT A) (NN woman)) (PP (IN with) (NP (NP (DT a) (JJ green) (NN headscarf)) (, ,) (NP (JJ blue) (NN shirt)) (CC and) (NP (DT a) (ADJP (RB very) (JJ big)) (NN grin)))) (. .)))",The woman is very happy.,( ( The woman ) ( ( is ( very happy ) ) . ) ),(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (ADJP (RB very) (JJ happy))) (. .)))
,"['contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction']",4791890474.jpg#3,contradiction,4791890474.jpg#3r1c,An old man with a package poses in front of an advertisement.,( ( ( An ( old man ) ) ( with ( a package ) ) ) ( ( poses ( in ( front ( of ( an advertisement ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT An) (JJ old) (NN man)) (PP (IN with) (NP (DT a) (NN package)))) (VP (VBZ poses) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT an) (NN advertisement)))))) (. .))),A man walks by an ad.,( ( A man ) ( ( walks ( by ( an ad ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ walks) (PP (IN by) (NP (DT an) (NN ad)))) (. .)))
,"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",2832076014.jpg#2,entailment,2832076014.jpg#2r1n,A land rover is being driven across a river.,( ( A ( land rover ) ) ( ( is ( being ( driven ( across ( a river ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN land) (NN rover)) (VP (VBZ is) (VP (VBG being) (VP (VBN driven) (PP (IN across) (NP (DT a) (NN river)))))) (. .))),A Land Rover is splashing water as it crosses a river.,( ( A ( Land Rover ) ) ( ( is ( splashing ( water ( as ( it ( crosses ( a river ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NNP Land) (NNP Rover)) (VP (VBZ is) (NP (VBG splashing) (NN water) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ crosses) (NP (DT a) (NN river))))))) (. .)))
,"['neutral', 'contradiction', 'neutral', 'neutral', 'entailment']",3856149623.jpg#1,neutral,3856149623.jpg#1r1n,A blond-haired doctor and her African american assistant looking threw new medical manuals.,( ( ( ( A ( blond-haired doctor ) ) and ) ( ( her ( African ( american assistant ) ) ) looking ) ) ( ( threw ( new ( medical manuals ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (JJ blond-haired) (NN doctor)) (CC and) (NP (NP (PRP$ her) (JJ African) (NN american) (NN assistant)) (VP (VBG looking)))) (VP (VBD threw) (NP (JJ new) (JJ medical) (NNS manuals))) (. .))),A doctor is studying,( ( A doctor ) ( is studying ) ),(ROOT (S (NP (DT A) (NN doctor)) (VP (VBZ is) (VP (VBG studying)))))
,"['neutral', 'contradiction', 'neutral', 'contradiction', 'neutral']",3827316480.jpg#0,neutral,3827316480.jpg#0r1n,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","( ( ( One ( tan girl ) ) ( with ( a ( wool hat ) ) ) ) ( ( is ( ( ( ( ( running and ) leaning ) ( over ( an object ) ) ) , ) ( while ( ( ( another person ) ( in ( a ( wool hat ) ) ) ) ( is ( sitting ( on ( the ground ) ) ) ) ) ) ) ) . ) )","(ROOT (S (NP (NP (CD One) (JJ tan) (NN girl)) (PP (IN with) (NP (DT a) (NN wool) (NN hat)))) (VP (VBZ is) (VP (VBG running) (CC and) (VBG leaning) (PP (IN over) (NP (DT an) (NN object))) (, ,) (SBAR (IN while) (S (NP (NP (DT another) (NN person)) (PP (IN in) (NP (DT a) (NN wool) (NN hat)))) (VP (VBZ is) (VP (VBG sitting) (PP (IN on) (NP (DT the) (NN ground))))))))) (. .)))",A man watches his daughter leap,( ( A man ) ( watches ( his ( daughter leap ) ) ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ watches) (NP (PRP$ his) (NN daughter) (NN leap)))))
,"['entailment', 'entailment', 'entailment', 'entailment', 'neutral']",2946464027.jpg#0,entailment,2946464027.jpg#0r1e,A young family enjoys feeling ocean waves lap at their feet.,( ( A ( young family ) ) ( ( enjoys ( ( feeling ( ocean waves ) ) ( lap ( at ( their feet ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (JJ young) (NN family)) (VP (VBZ enjoys) (SBAR (S (NP (NN feeling) (NN ocean) (NNS waves)) (VP (VBP lap) (PP (IN at) (NP (PRP$ their) (NNS feet))))))) (. .))),A family is at the beach.,( ( A family ) ( ( is ( at ( the beach ) ) ) . ) ),(ROOT (S (NP (DT A) (NN family)) (VP (VBZ is) (PP (IN at) (NP (DT the) (NN beach)))) (. .)))
,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",2892843393.jpg#1,neutral,2892843393.jpg#1r1n,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","( ( ( A person ) ( ( ( wearing ( a ( straw hat ) ) ) , ) ( standing ( outside ( ( working ( a ( steel apparatus ) ) ) ( with ( ( a pile ) ( of ( coconuts ( on ( the ground ) ) ) ) ) ) ) ) ) ) ) . )","(ROOT (NP (NP (DT A) (NN person)) (VP (VP (VBG wearing) (NP (DT a) (NN straw) (NN hat))) (, ,) (VP (VBG standing) (PP (IN outside) (S (VP (VBG working) (NP (DT a) (NN steel) (NN apparatus)) (PP (IN with) (NP (NP (DT a) (NN pile)) (PP (IN of) (NP (NP (NNS coconuts)) (PP (IN on) (NP (DT the) (NN ground)))))))))))) (. .)))",A person is selling coconuts.,( ( A person ) ( ( is ( selling coconuts ) ) . ) ),(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG selling) (NP (NNS coconuts)))) (. .)))
,"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",4923271886.jpg#2,entailment,4923271886.jpg#2r1e,Male in a blue jacket decides to lay in the grass.,( ( Male ( in ( a ( blue jacket ) ) ) ) ( ( decides ( to ( lay ( in ( the grass ) ) ) ) ) . ) ),(ROOT (S (NP (NP (NN Male)) (PP (IN in) (NP (DT a) (JJ blue) (NN jacket)))) (VP (VBZ decides) (S (VP (TO to) (VP (VB lay) (PP (IN in) (NP (DT the) (NN grass))))))) (. .))),The guy wearing a blue jacket is laying on the green grass,( ( ( The guy ) ( wearing ( a ( blue jacket ) ) ) ) ( is ( laying ( on ( the ( green grass ) ) ) ) ) ),(ROOT (S (NP (NP (DT The) (NN guy)) (VP (VBG wearing) (NP (DT a) (JJ blue) (NN jacket)))) (VP (VBZ is) (VP (VBG laying) (PP (IN on) (NP (DT the) (JJ green) (NN grass)))))))
,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction']",2972268289.jpg#4,contradiction,2972268289.jpg#4r1c,During calf roping a cowboy calls off his horse.,( ( During ( calf roping ) ) ( ( a cowboy ) ( ( ( calls off ) ( his horse ) ) . ) ) ),(ROOT (S (PP (IN During) (NP (NN calf) (NN roping))) (NP (DT a) (NN cowboy)) (VP (VBZ calls) (PRT (RP off)) (NP (PRP$ his) (NN horse))) (. .))),A man ropes a calf successfully.,( ( A man ) ( ( ( ropes ( a calf ) ) successfully ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBD ropes) (NP (DT a) (NN calf)) (ADVP (RB successfully))) (. .)))
