label,final,fullnopunc
contradiction,church choir sings mass sing joyous song book church,This church choir sings to the masses as they sing joyous songs from the book at a church
contradiction,woman green headscarf blue shirt big grin,A woman with a green headscarf blue shirt and a very big grin
contradiction,statue museum seems looking at,A statue at a museum that no seems to be looking at
contradiction,land rover driven across river,A land rover is being driven across a river
contradiction,man playing electric guitar stage,A man playing an electric guitar on stage
contradiction,blond-haired doctor african american assistant looking threw new medical manual,A blond-haired doctor and her African american assistant looking threw new medical manuals
contradiction,one tan girl wool hat running leaning object another person wool hat sitting ground,One tan girl with a wool hat is running and leaning over an object while another person in a wool hat is sitting on the ground
contradiction,young family enjoys feeling ocean wave lap foot,A young family enjoys feeling ocean waves lap at their feet
contradiction,couple walk hand hand street,A couple walk hand in hand down a street
contradiction,3 young man hood standing middle quiet street facing camera,3 young man in hoods standing in the middle of a quiet street facing the camera
contradiction,man read paper bar green lighting,A man reads the paper in a bar with green lighting
contradiction,three firefighter come subway station,Three firefighter come out of subway station
contradiction,person wearing straw hat standing outside working steel apparatus pile coconut ground,A person wearing a straw hat standing outside working a steel apparatus with a pile of coconuts on the ground
contradiction,male blue jacket decides lay grass,Male in a blue jacket decides to lay in the grass
-,calf roping cowboy call horse,During calf roping a cowboy calls off his horse
contradiction,little boy gray white striped sweater tan pant playing piece playground equipment,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment
contradiction,woman wearing ball cap squat touch cracked earth,A woman wearing a ball cap squats down to touch the cracked earth
contradiction,two child laying rug wooden brick laid square them,Two children re laying on a rug with some wooden bricks laid out in a square between them
contradiction,man standing front building phone two men side pain side,A man standing in front of a building on the phone as two men to the side pain on the side
contradiction,two young girl dressed fairy playing leaf outdoors,The two young girls are dressed as fairies and are playing in the leaves outdoors
contradiction,older woman tending garden,An older women tending to a garden
contradiction,man black shirt overlooking bike maintenance,A man in a black shirt overlooking bike maintenance
contradiction,man black shirt looking bike workshop,A man in a black shirt is looking at a bike in a workshop
contradiction,three people sit bench station man look oddly two woman redheaded woman look forward awkward position yellow blond girl twiddle hair,Three people sit on a bench at a station the man looks oddly at the two women the redheaded women looks up and forward in an awkward position and the yellow blond girl twiddles with her hair
contradiction,child wearing red top standing behind blond headed child sitting wheelbarrow,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow
contradiction,person dressed dress flower stuffed bee attached it pushing baby stroller street,A person dressed in a dress with flowers and a stuffed bee attached to it is pushing a baby stroller down the street
contradiction,dog jumping frisbee snow,A dog jumping for a Frisbee in the snow
contradiction,people conversing dining table canopy,People are conversing at a dining table under a canopy
contradiction,girl playing violin along group people,A girl playing a violin along with a group of people
contradiction,woman within orchestra playing violin,A woman within an orchestra is playing a violin
contradiction,three men one holding pipe another holding large object head one resting pipe bed truck looking camera,Three men one holding pipes another holding a large object above his head and one resting against the pipe bed on the truck are looking at the camera
-,ford car making right turn 3 male walking across street behind car,A Ford car is making a right turn as 3 males are walking across the street behind the car
contradiction,three boy white shirt walking behind older model ford car,Three boys in white shirts are walking behind an older model Ford car
contradiction,crowd people looking 3 people edge roof building,A crowd of people looking up at 3 people on the edge of the roof of a building
contradiction,woman working long hour,A woman working long hours
contradiction,two teenage girl conversing next locker,Two teenage girls conversing next to lockers
-,old woman watch man look ball ground,An old woman watches a man look down at some balls on the ground
contradiction,old woman watch man look ball ground,An old woman watches a man look down at some balls on the ground
contradiction,two child wearing tan coat embracing one another,Two children both wearing tan coats are embracing one another
contradiction,2 kid look related hanging 1 looking emotional hugging other,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other
contradiction,large number people wearing white red walking street,A large number of people wearing only white and red are walking on a street
contradiction,guy riding motorcycle near junk car,A guy riding a motorcycle near junk cars
contradiction,woman india performing blue streamer beautiful blue costume,Women of India performing with blue streamers in beautiful blue costumes
contradiction,professional swimmer spit water surfacing grabbing hand someone helping back land,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land
contradiction,man black wetsuit walking water,The man in the black wetsuit is walking out of the water
contradiction,five girl two guy crossing overpass,Five girls and two guys are crossing a overpass
contradiction,person purple shirt painting image woman white wall,A person with a purple shirt is painting an image of a woman on a white wall
contradiction,woman painting mural woman face,A woman is painting a mural of a womans face
contradiction,couple eating outside table pointing something,A couple is eating outside at a table and he is pointing at something
contradiction,two woman walk sidewalk along busy street downtown area,Two women walk down a sidewalk along a busy street in a downtown area
contradiction,"many people standing outside place talking front building sign say ""hi-pointe""","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE"""
contradiction,flight attendant dressed yellow demonstrates life vest usage,The flight attendant dressed in yellow demonstrates life vest usage
contradiction,girl walk street,The girls walk down the street
contradiction,man wearing red uniform helmet stand motorbike,A man wearing a red uniform and helmet stands on his motorbike
contradiction,man cloth put black substance man forehead,A man of the cloth puts a black substance on a mans forehead
contradiction,person roll hill riding wagon another watch,A person rolls down a hill riding a wagon as another watches
contradiction,boy holding onto wall old brick house raised foundation,a boy holding onto the wall of an old brick houses raised foundation
contradiction,six dog swimming river,Six dogs swimming in a river
contradiction,group people dancing together,a group of people dancing together
contradiction,men wearing blue uniform sit bus,Men wearing blue uniforms sit on a bus
contradiction,two men climbing wooden scaffold,Two men climbing on a wooden scaffold
-,bird flapping wing water,A bird is flapping its wings on the water
contradiction,bird flapping wing water,A bird is flapping its wings on the water
contradiction,young boy wearing red shirt jean stand middle field throw toy plane air,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air
contradiction,six seven people standing pier table pair glass foreground,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground
contradiction,person red shirt black pant hunched over,A person in a red shirt and black pants hunched over
contradiction,tattooed basketball player dunk ball,The tattooed basketball player is about to dunk the ball
contradiction,boy red hooded top smiling whilst looking away reflection,a boy in a red hooded top is smiling whilst looking away from his reflection
contradiction,man wearing gray ball cap walk next redheaded woman wearing long-sleeved blue jean shirt,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt
contradiction,old man baseball hat old woman jean jacket standing outside covered mostly shadow,An old man in a baseball hat and an old woman in a jean jacket are standing outside but are covered mostly in shadow
contradiction,newlywed couple laughing talking amongst themselves,A newlywed couple laughing and talking amongst themselves
contradiction,black man long sleeve white collared shirt tie walking work big city,A black man in a long sleeves white collared shirt and a tie is walking to work in a big city
contradiction,several younger people sitting front statue,Several younger people sitting in front of a statue
contradiction,goofy looking woman singing stage,A goofy looking woman is singing on stage
contradiction,girl wearing brown jacket whilst walking snow,The girl wearing a brown jacket whilst walking in snow
contradiction,man woman child get picture taken front mountain,A man woman and child get their picture taken in front of the mountains
contradiction,people standing near water boat heading direction,people are standing near water with a boat heading their direction
contradiction,four adult eat sitting tile floor,Four adults eat while sitting on a tile floor
contradiction,dog standing near snow looking water,A dog standing near snow looking at water
contradiction,older man lean pedestal outside ornate building,An older man leans against a pedestal outside of an ornate building
contradiction,person orange clothing rest metro entrance,A person in orange clothing rests above a metro entrance
contradiction,black man white uniform make spectacular reverse slam dunk crowd amazement,A black man in a white uniform makes a spectacular reverse slam dunk to the crowds amazement
contradiction,black man white uniform make spectacular reverse slam dunk crowd amazement,A black man in a white uniform makes a spectacular reverse slam dunk to the crowds amazement
contradiction,basketball player green shoe dunking ball net arena crowd look on,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on
contradiction,woman wearing bike short skirt riding bike carrying shoulder bag,A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag
contradiction,skateboarding youth trick rail,A skateboarding youth does a trick on a rail
contradiction,guy wearing jean hat crouching handrail concrete embankment located front him,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him
contradiction,girl red coat blue head wrap jean making snow angel,Girl in a red coat blue head wrap and jeans is making a snow angel
contradiction,group people gathered night watching event,A group of people gathered at night watching an event
