index,full,casewords,wsw,nopunc,text_lemmatized,final,fullnopunc,label
0,This church choir sings to the masses as they sing joyous songs from the book at a church.,this church choir sings to the masses as they sing joyous songs from the book at a church.,church choir sings masses sing joyous songs book church.,church choir sings masses sing joyous songs book church,"['church', 'choir', 'sings', 'mass', 'sing', 'joyous', 'song', 'book', 'church']",church choir sings mass sing joyous song book church,This church choir sings to the masses as they sing joyous songs from the book at a church,neutral
1,"A woman with a green headscarf, blue shirt and a very big grin.","a woman with a green headscarf, blue shirt and a very big grin.","woman green headscarf, blue shirt big grin.",woman green headscarf blue shirt big grin,"['woman', 'green', 'headscarf', 'blue', 'shirt', 'big', 'grin']",woman green headscarf blue shirt big grin,A woman with a green headscarf blue shirt and a very big grin,entailment
2,An old man with a package poses in front of an advertisement.,an old man with a package poses in front of an advertisement.,old man package poses front advertisement.,old man package poses front advertisement,"['old', 'man', 'package', 'pose', 'front', 'advertisement']",old man package pose front advertisement,An old man with a package poses in front of an advertisement,contradiction
3,A land rover is being driven across a river.,a land rover is being driven across a river.,land rover driven across river.,land rover driven across river,"['land', 'rover', 'driven', 'across', 'river']",land rover driven across river,A land rover is being driven across a river,entailment
4,A blond-haired doctor and her African american assistant looking threw new medical manuals.,a blond-haired doctor and her african american assistant looking threw new medical manuals.,blond-haired doctor african american assistant looking threw new medical manuals.,blond-haired doctor african american assistant looking threw new medical manuals,"['blond-haired', 'doctor', 'african', 'american', 'assistant', 'looking', 'threw', 'new', 'medical', 'manual']",blond-haired doctor african american assistant looking threw new medical manual,A blond-haired doctor and her African american assistant looking threw new medical manuals,neutral
5,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","one tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.","one tan girl wool hat running leaning object, another person wool hat sitting ground.",one tan girl wool hat running leaning object another person wool hat sitting ground,"['one', 'tan', 'girl', 'wool', 'hat', 'running', 'leaning', 'object', 'another', 'person', 'wool', 'hat', 'sitting', 'ground']",one tan girl wool hat running leaning object another person wool hat sitting ground,One tan girl with a wool hat is running and leaning over an object while another person in a wool hat is sitting on the ground,neutral
6,A young family enjoys feeling ocean waves lap at their feet.,a young family enjoys feeling ocean waves lap at their feet.,young family enjoys feeling ocean waves lap feet.,young family enjoys feeling ocean waves lap feet,"['young', 'family', 'enjoys', 'feeling', 'ocean', 'wave', 'lap', 'foot']",young family enjoys feeling ocean wave lap foot,A young family enjoys feeling ocean waves lap at their feet,entailment
7,"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","a person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.","person wearing straw hat, standing outside working steel apparatus pile coconuts ground.",person wearing straw hat standing outside working steel apparatus pile coconuts ground,"['person', 'wearing', 'straw', 'hat', 'standing', 'outside', 'working', 'steel', 'apparatus', 'pile', 'coconut', 'ground']",person wearing straw hat standing outside working steel apparatus pile coconut ground,A person wearing a straw hat standing outside working a steel apparatus with a pile of coconuts on the ground,neutral
8,Male in a blue jacket decides to lay in the grass.,male in a blue jacket decides to lay in the grass.,male blue jacket decides lay grass.,male blue jacket decides lay grass,"['male', 'blue', 'jacket', 'decides', 'lay', 'grass']",male blue jacket decides lay grass,Male in a blue jacket decides to lay in the grass,entailment
9,During calf roping a cowboy calls off his horse.,during calf roping a cowboy calls off his horse.,calf roping cowboy calls horse.,calf roping cowboy calls horse,"['calf', 'roping', 'cowboy', 'call', 'horse']",calf roping cowboy call horse,During calf roping a cowboy calls off his horse,contradiction
10,Two children re laying on a rug with some wooden bricks laid out in a square between them.,two children re laying on a rug with some wooden bricks laid out in a square between them.,two children laying rug wooden bricks laid square them.,two children laying rug wooden bricks laid square them,"['two', 'child', 'laying', 'rug', 'wooden', 'brick', 'laid', 'square', 'them']",two child laying rug wooden brick laid square them,Two children re laying on a rug with some wooden bricks laid out in a square between them,neutral
11,People jump over a mountain crevasse on a rope.,people jump over a mountain crevasse on a rope.,people jump mountain crevasse rope.,people jump mountain crevasse rope,"['people', 'jump', 'mountain', 'crevasse', 'rope']",people jump mountain crevasse rope,People jump over a mountain crevasse on a rope,neutral
12,People jump over a mountain crevasse on a rope.,people jump over a mountain crevasse on a rope.,people jump mountain crevasse rope.,people jump mountain crevasse rope,"['people', 'jump', 'mountain', 'crevasse', 'rope']",people jump mountain crevasse rope,People jump over a mountain crevasse on a rope,contradiction
13,A snowboarder on a wide plain of snow,a snowboarder on a wide plain of snow,snowboarder wide plain snow,snowboarder wide plain snow,"['snowboarder', 'wide', 'plain', 'snow']",snowboarder wide plain snow,A snowboarder on a wide plain of snow,neutral
14,A snowboarder on a wide plain of snow,a snowboarder on a wide plain of snow,snowboarder wide plain snow,snowboarder wide plain snow,"['snowboarder', 'wide', 'plain', 'snow']",snowboarder wide plain snow,A snowboarder on a wide plain of snow,neutral
