label,final,fullnopunc
entailment,church choir sings mass sing joyous song book church,This church choir sings to the masses as they sing joyous songs from the book at a church
entailment,old man package pose front advertisement,An old man with a package poses in front of an advertisement
entailment,statue museum seems looking at,A statue at a museum that no seems to be looking at
entailment,land rover driven across river,A land rover is being driven across a river
entailment,man playing electric guitar stage,A man playing an electric guitar on stage
entailment,blond-haired doctor african american assistant looking threw new medical manual,A blond-haired doctor and her African american assistant looking threw new medical manuals
entailment,one tan girl wool hat running leaning object another person wool hat sitting ground,One tan girl with a wool hat is running and leaning over an object while another person in a wool hat is sitting on the ground
entailment,couple walk hand hand street,A couple walk hand in hand down a street
entailment,3 young man hood standing middle quiet street facing camera,3 young man in hoods standing in the middle of a quiet street facing the camera
entailment,3 young man hood standing middle quiet street facing camera,3 young man in hoods standing in the middle of a quiet street facing the camera
entailment,man read paper bar green lighting,A man reads the paper in a bar with green lighting
entailment,three firefighter come subway station,Three firefighter come out of subway station
entailment,person wearing straw hat standing outside working steel apparatus pile coconut ground,A person wearing a straw hat standing outside working a steel apparatus with a pile of coconuts on the ground
entailment,little boy gray white striped sweater tan pant playing piece playground equipment,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment
entailment,woman wearing ball cap squat touch cracked earth,A woman wearing a ball cap squats down to touch the cracked earth
entailment,two child laying rug wooden brick laid square them,Two children re laying on a rug with some wooden bricks laid out in a square between them
entailment,man standing front building phone two men side pain side,A man standing in front of a building on the phone as two men to the side pain on the side
entailment,two young girl dressed fairy playing leaf outdoors,The two young girls are dressed as fairies and are playing in the leaves outdoors
entailment,people jump mountain crevasse rope,People jump over a mountain crevasse on a rope
entailment,snowboarder wide plain snow,A snowboarder on a wide plain of snow
entailment,older woman tending garden,An older women tending to a garden
entailment,man black shirt overlooking bike maintenance,A man in a black shirt overlooking bike maintenance
entailment,man looking bicycle rear wheel maintenance garage various tool visible background,A man looking over a bicycles rear wheel in the maintenance garage with various tools visible in the background
entailment,three people sit bench station man look oddly two woman redheaded woman look forward awkward position yellow blond girl twiddle hair,Three people sit on a bench at a station the man looks oddly at the two women the redheaded women looks up and forward in an awkward position and the yellow blond girl twiddles with her hair
entailment,child wearing red top standing behind blond headed child sitting wheelbarrow,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow
entailment,person dressed dress flower stuffed bee attached it pushing baby stroller street,A person dressed in a dress with flowers and a stuffed bee attached to it is pushing a baby stroller down the street
entailment,dog jumping frisbee snow,A dog jumping for a Frisbee in the snow
entailment,people conversing dining table canopy,People are conversing at a dining table under a canopy
entailment,girl playing violin along group people,A girl playing a violin along with a group of people
entailment,woman within orchestra playing violin,A woman within an orchestra is playing a violin
entailment,three men one holding pipe another holding large object head one resting pipe bed truck looking camera,Three men one holding pipes another holding a large object above his head and one resting against the pipe bed on the truck are looking at the camera
entailment,ford car making right turn 3 male walking across street behind car,A Ford car is making a right turn as 3 males are walking across the street behind the car
