label,final,fullnopunc
neutral,woman green headscarf blue shirt big grin,A woman with a green headscarf blue shirt and a very big grin
neutral,old man package pose front advertisement,An old man with a package poses in front of an advertisement
neutral,statue museum seems looking at,A statue at a museum that no seems to be looking at
neutral,man playing electric guitar stage,A man playing an electric guitar on stage
neutral,young family enjoys feeling ocean wave lap foot,A young family enjoys feeling ocean waves lap at their feet
neutral,couple walk hand hand street,A couple walk hand in hand down a street
neutral,man read paper bar green lighting,A man reads the paper in a bar with green lighting
neutral,three firefighter come subway station,Three firefighter come out of subway station
neutral,male blue jacket decides lay grass,Male in a blue jacket decides to lay in the grass
neutral,calf roping cowboy call horse,During calf roping a cowboy calls off his horse
neutral,little boy gray white striped sweater tan pant playing piece playground equipment,A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment
neutral,woman wearing ball cap squat touch cracked earth,A woman wearing a ball cap squats down to touch the cracked earth
neutral,man standing front building phone two men side pain side,A man standing in front of a building on the phone as two men to the side pain on the side
neutral,two young girl dressed fairy playing leaf outdoors,The two young girls are dressed as fairies and are playing in the leaves outdoors
neutral,older woman tending garden,An older women tending to a garden
neutral,man black shirt looking bike workshop,A man in a black shirt is looking at a bike in a workshop
neutral,child wearing red top standing behind blond headed child sitting wheelbarrow,A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow
neutral,person dressed dress flower stuffed bee attached it pushing baby stroller street,A person dressed in a dress with flowers and a stuffed bee attached to it is pushing a baby stroller down the street
neutral,dog jumping frisbee snow,A dog jumping for a Frisbee in the snow
neutral,people conversing dining table canopy,People are conversing at a dining table under a canopy
neutral,girl playing violin along group people,A girl playing a violin along with a group of people
neutral,woman within orchestra playing violin,A woman within an orchestra is playing a violin
neutral,three men one holding pipe another holding large object head one resting pipe bed truck looking camera,Three men one holding pipes another holding a large object above his head and one resting against the pipe bed on the truck are looking at the camera
neutral,crowd people looking 3 people edge roof building,A crowd of people looking up at 3 people on the edge of the roof of a building
neutral,woman working long hour,A woman working long hours
neutral,two teenage girl conversing next locker,Two teenage girls conversing next to lockers
neutral,two child wearing tan coat embracing one another,Two children both wearing tan coats are embracing one another
neutral,2 kid look related hanging 1 looking emotional hugging other,2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other
neutral,large number people wearing white red walking street,A large number of people wearing only white and red are walking on a street
neutral,woman india performing blue streamer beautiful blue costume,Women of India performing with blue streamers in beautiful blue costumes
neutral,five girl two guy crossing overpass,Five girls and two guys are crossing a overpass
neutral,woman painting mural woman face,A woman is painting a mural of a womans face
neutral,couple eating outside table pointing something,A couple is eating outside at a table and he is pointing at something
neutral,"many people standing outside place talking front building sign say ""hi-pointe""","Many people standing outside of a place talking to each other in front of a building that has a sign that says ""HI-POINTE"""
neutral,flight attendant dressed yellow demonstrates life vest usage,The flight attendant dressed in yellow demonstrates life vest usage
neutral,girl walk street,The girls walk down the street
neutral,person roll hill riding wagon another watch,A person rolls down a hill riding a wagon as another watches
neutral,boy holding onto wall old brick house raised foundation,a boy holding onto the wall of an old brick houses raised foundation
neutral,bruce springsteen one arm outstretched singing spotlight dark concert hall,Bruce Springsteen with one arm outstretched is singing in the spotlight in a dark concert hall
neutral,bruce springsteen one arm outstretched singing spotlight dark concert hall,Bruce Springsteen with one arm outstretched is singing in the spotlight in a dark concert hall
neutral,man woman taking picture woman scarf walk them,A man and woman are taking a picture of themselves while a woman in a scarf walks by them
neutral,group people dancing together,a group of people dancing together
neutral,men wearing blue uniform sit bus,Men wearing blue uniforms sit on a bus
neutral,two men climbing wooden scaffold,Two men climbing on a wooden scaffold
neutral,young boy wearing red shirt jean stand middle field throw toy plane air,A young boy wearing a red shirt and jeans stands in the middle of a field and throws a toy plane in the air
neutral,six seven people standing pier table pair glass foreground,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground
neutral,person red shirt black pant hunched over,A person in a red shirt and black pants hunched over
neutral,boy red hooded top smiling whilst looking away reflection,a boy in a red hooded top is smiling whilst looking away from his reflection
neutral,man wearing gray ball cap walk next redheaded woman wearing long-sleeved blue jean shirt,A man wearing a gray ball cap walks next to a redheaded woman wearing a long-sleeved blue jean shirt
neutral,old man baseball hat old woman jean jacket standing outside covered mostly shadow,An old man in a baseball hat and an old woman in a jean jacket are standing outside but are covered mostly in shadow
neutral,group adult stand bathroom looking small child bath,A group of adults stands in the bathroom looking down a small child in the bath
neutral,goofy looking woman singing stage,A goofy looking woman is singing on stage
neutral,girl wearing brown jacket whilst walking snow,The girl wearing a brown jacket whilst walking in snow
neutral,people standing near water boat heading direction,people are standing near water with a boat heading their direction
neutral,four adult eat sitting tile floor,Four adults eat while sitting on a tile floor
neutral,dog standing near snow looking water,A dog standing near snow looking at water
neutral,older man lean pedestal outside ornate building,An older man leans against a pedestal outside of an ornate building
neutral,person orange clothing rest metro entrance,A person in orange clothing rests above a metro entrance
neutral,girl blue dress take shoe eats blue cotton candy,A girl in a blue dress takes off her shoes and eats blue cotton candy
neutral,girl blue dress take shoe eats blue cotton candy,A girl in a blue dress takes off her shoes and eats blue cotton candy
neutral,frowning old man military cap civilian suit stand amongst crowd people outdoors carrying sign balloon,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons
neutral,woman wearing bike short skirt riding bike carrying shoulder bag,A woman wearing bike shorts and a skirt is riding a bike and carrying a shoulder bag
neutral,skateboarding youth trick rail,A skateboarding youth does a trick on a rail
neutral,girl red coat blue head wrap jean making snow angel,Girl in a red coat blue head wrap and jeans is making a snow angel
neutral,group people gathered night watching event,A group of people gathered at night watching an event
neutral,person blue hair baseball cap hood stand outdoors crowd,A person with blue hair a baseball cap and a hood on stands outdoors in a crowd
neutral,girl holding beverage point painting,A girl holding a beverage points at a painting
neutral,two men prepare fish dock,Two men prepare a fish at a dock
neutral,woman face partially covered silver face paint sits plastic tote looking mirror,A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror
neutral,man alaska sweatshirt stand behind counter,A man in an Alaska sweatshirt stands behind a counter
neutral,softball player throw ball teammate,A softball player throws the ball to her teammate
neutral,biker race,A biker races
neutral,two little boy smiling laughing one standing one bouncy seat,Two little boys are smiling and laughing while one is standing and one is in a bouncy seat
neutral,island native fisherman reeling net long day work,Island native fishermen reeling in their nets after a long days work
neutral,young adult seem working together protect plant surrounding white pole,These are young adults who seem to be working together to protect the plants surrounding the white pole
neutral,two college football player battle outdoors field game day one quarterback trying throw ball player action sack quarterback,Two college football players battle it out outdoors on the field during game day where one is the quarterback trying to throw the ball and the other player is in action about to sack the quarterback
neutral,two people playing american football one trying stop throwing ball,Two people are playing American Football and one of them is trying to stop the other from throwing the ball
neutral,man playing billiards bar,A man playing billiards at a bar
neutral,golden dog pass blue ball another golden dog beach,A golden dog passes a blue ball to another golden dog on the beach
neutral,people escalator waiting get destination looking outside glass make wall,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall
neutral,boy riding road two cow,A boy is riding down the road between two cows
neutral,five singer stage three woman two men,There are five singers on a stage three women and two men
neutral,two men standing boat,Two men are standing in a boat
neutral,sun break tree child ride swing,The sun breaks through the trees as a child rides a swing
neutral,man apron smile poke frying donut little metal stick,A man in an apron smiles as he pokes a frying donut with a little metal stick
neutral,woman tennis clothes running hit ball tennis racket,A woman in tennis clothes running to hit a ball with her tennis racket
neutral,people riding bicycle street wearing helmet,People are riding bicycles in the street and they are all wearing helmets
neutral,man one piece tunic riding bike front sandstone wall touching nose,A man in a one piece tunic is riding a bike in front of a sandstone wall while touching his nose
neutral,guy girl look mountain range,A guy and a girl look down a mountain range
neutral,man sitting green chair talking phone working laptop construction site next building,A man is sitting in the green chair talking on the phone and working on the laptop and there is construction site next to his building
neutral,boy hit tennis ball court,A boy hits a tennis ball on a court
neutral,young man heavy brown winter coat stand front blue railing arm spread,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread
neutral,black man wearing jacket arm spread holding pink comb,A black man wearing a down jacket with his arms spread and holding a pink comb
neutral,man wearing red vest walking past black green fence,A man wearing a red vest is walking past a black and green fence
neutral,man playing saxophone street people sitting curb next street him,A man is playing the saxophone in the street and some people are sitting on the curb next to the street by him
neutral,standing man talk seated woman sort vehicle,A standing man talks to a seated woman while on some sort of vehicle
neutral,young boy close-cropped hair wearing red robe holding black kettle someone pour something it,A young boy with close-cropped hair wearing a red robe is holding a black kettle as someone is about to pour something in it
neutral,four people baby crossing street crosswalk,Four people and a baby are crossing the street at a crosswalk
neutral,two woman wearing dress standing outside grass one holding cup saucer,Two woman wearing dresses are standing outside on the grass while one of them is holding a cup and saucer
neutral,woman lean small fence take picture yellow flower,A woman leans over a small fence to take a picture of a yellow flower
neutral,group four child pose muddy beach smiling making face,A group of four children pose on a muddy beach smiling and making faces
neutral,several men bar watch sport game television,Several men at a bar watch a sports game on the television
neutral,two roadside worker lime green safety jacket white hard hat glove construction cone background,Two roadside workers with lime green safety jackets white hard hats and gloves on with construction cones in the background
neutral,woman black outfit lie face first yoga mat; several painting hanged wall sun shine large window near her,A woman in a black outfit lies face first on a yoga mat; several paintings are hanged on the wall and the sun shines through a large window near her
neutral,dog running deserted beach,Some dogs are running on a deserted beach
neutral,crowded city street lot pedestrian,A crowded city street with lots of pedestrians
neutral,woman wearing bright orange blouse weaving,A woman wearing a bright orange blouse is weaving
neutral,group people rowboat ocean surrounded seagull,A group of people are in a rowboat in the ocean surrounded by seagulls
neutral,woman brown shirt kneeling street,A woman in a brown shirt is kneeling in the street
neutral,man holding baby petting pony,A man holding a baby who is petting a pony
neutral,man holding baby petting pony,A man holding a baby who is petting a pony
neutral,black dog blue collar jumping water,A black dog with a blue collar is jumping into the water
neutral,many child play water,many children play in the water
neutral,many child play water,many children play in the water
neutral,group kid splashing deep water nearby rock formation,A group of kids is splashing in deep water nearby a rock formation
neutral,two formally dressed bald older woman,Two formally dressed bald older women
neutral,woman black shirt hand paper child surrounding her,The woman in the black shirt hands papers to the children surrounding her
neutral,girl red jumping,Girl in red jumping up
neutral,3 lady number shirt running,3 ladies with numbers on their shirts running
neutral,young boy walk pipe stretch water,A young boy walks on a pipe that stretches over water
neutral,young boy green short balance pipe river,A young boy in green shorts balances on a pipe above a river
neutral,young man waring black carrying skateboard look outdoor skateboard park,A young man waring black and carrying a skateboard looks at an outdoor skateboard park
neutral,young boy wearing pajama lying bed sleeping colorful striped pillow,Young boy wearing pajamas lying down in bed and sleeping on a colorful striped pillow
neutral,man blue collared t-shirt posing someone holding hebrew newspaper,A man in a blue collared t-shirt posing at someone while holding a hebrew newspaper
neutral,man blue collared t-shirt posing someone holding hebrew newspaper,A man in a blue collared t-shirt posing at someone while holding a hebrew newspaper
neutral,bearded man jump snow ocean background orange recumbent bike parked near road sign,A bearded man jumps in the snow with the ocean in the background and an orange recumbent bike parked near a road sign
neutral,four child playing water,Four children are playing in some water
neutral,man black t-shirt trying throw something,The man in the black t-shirt is trying to throw something
neutral,one young boy yellow long-sleeved shirt jean sitting down five adult front him one operating video camera,One young boy in a yellow long-sleeved shirt and jeans sitting down with five adults in front of him one operating a video camera
neutral,woman standing behind girl helping girl experiment,A woman standing behind a girl helping the girl with an experiment
neutral,one man wearing blue jacket kicking another man wearing red jacket,One man wearing a blue jacket is kicking another man wearing a red jacket
neutral,"many people gathered room several people stage instrument word ""the early november"" wall","Many people gathered in a room with several people on stage with instruments and the words ""The Early November"" on the wall"
neutral,man wearing blue bowing floor front another man blue bowing floor two men wearing blue kneeling floor also,Man wearing blue bowing on floor in front of another man in blue bowing on floor with two other men wearing blue kneeling on same floor also
neutral,biker riding forest,Biker riding through the forest
neutral,biker riding forest,Biker riding through the forest
neutral,young man blue t-shirt sweatpants stand stove look camera another young man stand behind him,A young man in a blue T-shirt and sweatpants stands over a stove and looks at the camera while another young man stands behind him
neutral,couple enjoying meal bunch dog take nap,couples enjoying a meal while a bunch of dogs take a nap
neutral,woman wearing jean walking street,A woman wearing jeans is walking down the street
neutral,group people stand near large black square ground yellow writing it,A group of people stand near and on a large black square on the ground with some yellow writing on it
neutral,crowd watching group men suit briefcase walk formation street led woman holding sign,A crowd is watching a group of men in suits with briefcases walk in formation down the street led by a woman holding a sign
neutral,man woman sitting sidewalk,A man and woman sitting on the sidewalk
neutral,female within foreground heading towards large white colored pillar apart large building people loitering waiting step said building,A female within the foreground is heading towards a large white colored pillar that is apart of a large building with people are loitering or waiting on the steps of said building
neutral,woman black jacket black white striped skirt watching woman talking little boy sitting concrete step,A woman in a black jacket and a black and white striped skirt is watching a woman talking to a little boy sitting on concrete steps
neutral,man woman eating hotdog,Man and woman eating a hotdog
neutral,aisle best buy employee standing computer geek squad sign background,An aisle at Best Buy with an employee standing at the computer and a Geek Squad sign in the background
neutral,carpenter working roof house built,A carpenter is working on a roof at a house being built
neutral,group seven individual wearing rafting gear white water raft river,A group of seven individuals wearing rafting gear white water raft down a river
neutral,two small boy blue soccer uniform use wooden set step wash hand adult-sized bathroom,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom
neutral,naked man ride bike,A naked man rides a bike
neutral,"two street people dog sitting ground one holding ""out luck"" sign","Two street people and a dog sitting on the ground and one is holding an ""out of luck"" sign"
neutral,two homeless men dressed gray sit wall sleeping dog purple leash,Two homeless men dressed in gray sit against a wall with a sleeping dog on a purple leash
neutral,woman gymnastics using balance beam,A woman doing gymnastics she is using the balance beam
neutral,three woman sitting green bench looking coast,Three women are sitting on a green bench looking out at the coast
neutral,man black tank top wearing red plaid hat,A man in a black tank top wearing a red plaid hat
neutral,blond woman black shirt standing behind counter,A blond woman in a black shirt is standing behind a counter
neutral,boy playing lego,The boys are playing with Legos
neutral,man child purchasing ice cream man hand pushed ice cream cart,A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart
neutral,three men carrying red bag boat another person boat background,Three men are carrying a red bag into a boat with another person and boat in the background
neutral,man holding torch fire,Man holding torch of fire
neutral,crowd people shopping street market urban area building statue background,A crowd of people shopping at a street market in an urban area with buildings and a statue in background
neutral,child sticking head 0095 taxi cab screaming,A child is sticking her head out of the 0095 taxi cab and screaming
neutral,woman red blouse standing small blond child front small folding chalkboard,A woman in red blouse is standing with small blond child in front of a small folding chalkboard
neutral,boy swim shirtless black red bathing suit seagull sits sand,A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand
neutral,picture people getting drunk house party,Here is a picture of people getting drunk at a house party
neutral,picture people getting drunk house party,Here is a picture of people getting drunk at a house party
neutral,busy street numerous people interacting going life,A busy street with numerous people interacting and going about their lives
neutral,female softball player wearing blue red crouch infield waiting next play,A female softball player wearing blue and red crouches in the infield waiting for the next play
neutral,two people crossing kite surfing,Two people crossing by each other while kite surfing
neutral,variety people sitting around tale craft project,A variety of people are sitting around a tale doing craft projects
neutral,mother daughter walk along side bridge,A mother and daughter walk along the side of a bridge
neutral,boy midair bicycle,Boy in midair on bicycle
neutral,three dog running field,Three dogs running through a field
neutral,man wearing short-sleeved blue shirt carrying blue backpack using snow walking stick trek snow woman wearing long-sleeved blue shirt black pant also using snow walking stick,A man wearing a short-sleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a long-sleeved blue shirt and black pants also using snow walking sticks
neutral,man painting picture outside behind crowd,A man is painting a picture outside behind a crowd
neutral,two dog run together near leaf,Two dogs run together near the leaves
neutral,man shirt performing baton,A man with no shirt on is performing with a baton
neutral,female gymnast warm competition,Female gymnasts warm up before a competition
neutral,worker peer atop building construction,A worker peers out from atop a building under construction
neutral,young child joyfully pull colorful tissue paper decorated box looking present,A young child joyfully pulls colorful tissue paper from a decorated box looking for his present
neutral,young boy red leaping sand playground,A young boy in red leaping into sand at a playground
neutral,man suit driving horse-drawn buggy stone street,A man in a suit driving a horse-drawn buggy down a stone street
neutral,blond little boy orange sweatshirt red sleeve using scissors cut something,A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something
neutral,person dressed white black winter clothing leap narrow water-filled ditch one frost-covered field another female dressed black coat pant awaits,A person dressed in white and black winter clothing leaps a narrow water-filled ditch from one frost-covered field to another where a female dressed in black coat and pants awaits
neutral,elderly woman blue apron balance basket head sidewalk talking woman dressed black,Elderly woman in blue apron balances a basket on her head on a sidewalk while talking to a woman dressed in black
neutral,blond woman overlooking seattle space needle scene,Blond woman overlooking Seattle Space Needle scene
neutral,old man looking sculpture,An old man looking over a sculpture
neutral,soccer team clad blue match began counter field front defender clad red,The soccer team clad in blue for the match began to counter down the field in front of the defender clad in red
neutral,two people talking dock,Two people talking on a dock
neutral,man flung pole people canopy background,A man has flung himself over a pole with people and canopies in the background
neutral,child ninja outfit jumping kick,A child in a ninja outfit does a jumping kick
neutral,three men sitting outside chair red seat,Three men are sitting outside on chairs with red seats
neutral,man cooking high flame,A man cooking over high flames
neutral,man cooking fire like 5 pot time!,A man cooking with fire in like 5 pots at the same time!
neutral,four men stand circle facing playing brass instrument people watch them,Four men stand in a circle facing each other playing brass instruments which people watch them
neutral,man shooting gun outdoors look like beautiful sunny day,A man is shooting a gun outdoors on what looks like a beautiful sunny day
neutral,group football player standing behind coaching official,A group of footballs players is standing behind a coaching official
neutral,man black ball cap black jacket pant sitting front building painted white blue word ing people written it,A man in a black ball cap black jacket and pants sitting in front of a building painted white and blue with the words ING and PEOPLE written on it
neutral,people seated long table facing direction writing watching,People seated at long tables all facing the same direction some writing and some watching
neutral,elderly woman preparing food kitchen,An elderly woman is preparing food in the kitchen
neutral,four woman competitively rollerskating around area,Four women competitively rollerskating around an area
neutral,group cleaner sweeping animal feces street parade festival,A group of cleaners are sweeping up animal feces from the street during a parade or festival
neutral,young girl pink shirt playing barbie,A young girl in a pink shirt playing with her barbie
neutral,car loaded item top,A car is loaded with items on the top
neutral,man wearing snorkel goggles give thumb another person speed water,A man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water
neutral,several woman wearing dress dance forest,Several women wearing dresses dance in the forest
neutral,boy green shirt skateboard stone wall graffiti,A boy in a green shirt on a skateboard on a stone wall with graffiti
neutral,dog running pet toy chased another dog,Dog running with pet toy being chased by another dog
neutral,two child woman climb stair metal electric pole-like structure,Two children and a woman climb up the stairs on a metal electric pole-like structure
neutral,woman wearing colorful bikini rest laying next blue water,A woman wearing a colorful bikini rests laying down next to the blue water
neutral,brown dog jump obstacle,A brown dog jumps over an obstacle
neutral,brown dog carry object mouth snowy hillside,A brown dog carries an object in its mouth on a snowy hillside
neutral,two men neon yellow shirt busily sawing log half,Two men in neon yellow shirts busily sawing a log in half
neutral,two strong men work saw log,Two strong men work to saw a log
neutral,black man wearing red belt white man wearing blue belt pictured act practicing martial art inside building woman looking background,A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background
neutral,two lady workout mother nature,Two ladies at workout in mother nature
neutral,kid playing game called derby,A kid playing a game called The Derby
neutral,group people look fresh lettuce local street market,A group of people look at fresh lettuce in at the local street market
neutral,group consumer walking public market purchase vegetable background busy store behind them,A group of consumers walking through a public market to purchase vegetables with the background of the busy store just behind them
neutral,asian wearing pastel print shirt sunhat pushing cart street,An Asian wearing a pastel print shirt and sunhat pushing his cart up the street
neutral,man working earthen structure pickaxe,A man is working on a Earthen structure with a pickaxe
neutral,two older woman baby pacifier mouth baby wear orange brown dress,Two older women with a baby that has a pacifier in its mouth the baby wears an orange and brown dress
neutral,man black shirt brown pant jumping air performing karate kick towards man red shirt black hat,A man in a black shirt and brown pants is jumping in the air performing a karate kick towards a man in a red shirt and black hat
neutral,wet child stand chest deep ocean water,A wet child stands in chest deep ocean water
neutral,man red helmet number arm leg riding red racing bike,A man with a red helmet and numbers on his arm and leg is riding a red racing bike
neutral,man wearing dark knee boot green cape hat two big feather front sitting bench front building blue white patterned piece wheeled luggage right rest hand walking stick,A man wearing dark knee boots a green cape and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick
neutral,white dog pulling large stick,The white dog is pulling a large stick
neutral,child play father boot,A child plays with her fathers boots
neutral,young boy hoodie climb red slide sitting red green checkered background,A young boy in a hoodie climbs a red slide sitting on a red and green checkered background
neutral,lioness close prey,A lioness closes in on its prey
neutral,female gymnast black red coached bar skill,A female gymnast in black and red being coached on bar skills
neutral,skateboarder black white hat top jump snowy day,A skateboarder with a black and white hat at the top of a jump on a snowy day
neutral,man stand two face structure easter island,A man stands by two face structures on Easter Island
neutral,man red shirt laying grass reaching another person,a man in a red shirt is laying on the grass reaching out to another person
neutral,three woman smiling making cupcake,Three women are smiling and making cupcakes
neutral,two men working farm equipment pulled two horse,Two men working on farm equipment that is being pulled by two horses
neutral,skier ski-jumping two skier watch act,A Skier ski-jumping while two other skiers watch his act
neutral,dog run,A dog runs
neutral,brown black dog run grass outdoors front sidewalk,A brown and black dog runs on the grass outdoors in front of a sidewalk
neutral,black mother orange dress two little boy husband outdoor market stand,A black mother in an orange dress with her two little boys and husband at an outdoor market stand
neutral,group kid play colorful structure,A group of kids play on a colorful structure
neutral,group kid play colorful structure,A group of kids play on a colorful structure
neutral,man walking carrying notebook,A man walking and carrying a notebook
neutral,glaring light fluorescent bulb men dark clothing hat approach fare card machines; one older man blue scarf glance put glove,Under the glaring light of a fluorescent bulb men in dark clothing and hats approach fare card machines; one older man in a blue scarf glances up as he puts on his gloves
neutral,two dog fighting pink red toy,two dogs fighting over a pink and red toy
neutral,person wearing red shirt falling white surfboard,A person wearing a red shirt is falling off a white surfboard
neutral,man walking past large sign say ese electronics,A man is walking past a large sign that says ESE Electronics
neutral,african american man posing front ese electronics advertisement billboard purchasing item local liquor store,An African American man is posing in front of an ESE Electronics advertisement billboard after purchasing items from the local liquor store
neutral,crowd people packed subway car,A crowd of people are packed into a subway car
neutral,girl wearing scarf brushing horse,A girl wearing a scarf is brushing a horse
neutral,girl white knit hat winter gear rub tongue brace,A girl in a white knit hat and winter gear rubs her tongue over her braces
neutral,asian woman enjoys nice treat,An Asian woman enjoys a nice treat
neutral,schoolgirl jumping low hurdle,A schoolgirl is jumping over a low hurdle
neutral,kid playing rock steamboat background,Kids playing on the rocks with a steamboat in the background
neutral,lady green black jacket blue pant taking photo horse,A Lady in a Green and Black Jacket and Blue pants taking a Photos of a Horse
neutral,person yellow kayak riding rapid,This person in a yellow kayak is riding the rapids
neutral,horse fallen green grass jockey riding top trying hardest fall off,A horse has fallen down on the green grass and the jockey riding on top is trying his hardest to not fall off
neutral,person orange shovel shoveling snow,A person with an orange shovel is shoveling snow
neutral,worker wearing orange vest stand near rail track,Workers wearing orange vests stand near rail tracks
neutral,skateboarder performing grab trick hovering ramp located within city,A skateboarder is performing a grab trick while hovering above a ramp which is located within a city
neutral,young boy giving brother piggyback ride,A young boy giving his brother a piggyback ride
neutral,woman teaching ballet class composed small child holding colourful scarf,A woman teaching a ballet class composed of small children holding colourful scarves
neutral,two boy swimming boogie board,The two boys are swimming with boogie boards
neutral,man suit purple striped tie talking lady wearing sunglass,A man in a suit with a purple striped tie talking to a lady wearing sunglasses
neutral,three girl standing talking other,Three girls are standing and talking to each other
neutral,two guy walking one carrying skateboard,Two guys walking one carrying a skateboard
neutral,male runner orange white t-shirt black short sprinting track,A male runner in an orange and white t-shirt and black shorts is sprinting down the track
neutral,kid play water coming stream tiled floor image large rose it,Kids play in water coming up in streams out of a tiled floor with an image of a large rose on it
neutral,woman short blond-hair rise chair another woman burgundy shirt laugh,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs
neutral,announcement everybody beach,Here is an announcement for everybody about the beach
neutral,two asian people cooking grill park,Two Asian people cooking on a grill in a park
neutral,two asian people cooking grill park,Two Asian people cooking on a grill in a park
neutral,group child looking content slide microscope displayed computer screen,A group of children looking at the contents of a slide through a microscope displayed on a computer screen
neutral,group men boy look upwards something,A group of men and boys look upwards at something
neutral,brown dog run grassy field,A brown dog runs through a grassy field
neutral,girl jump air,A girl jumps in the air
neutral,kid looking something table,kids are looking at something on a table
neutral,skateboarder sliding ramp,skateboarder sliding down a ramp
neutral,skateboarder sliding ramp,skateboarder sliding down a ramp
neutral,person dressed winter clothes pose snowman surrounded snow covered landscape,A person dressed in winter clothes poses with a snowman surrounded by snow covered landscape
neutral,baby running over-sized flip-flop,Baby in running in over-sized flip-flops
neutral,man walking street,A man is walking in the street
neutral,big dog checking smaller dog,The big dog is checking out the smaller dog
neutral,man stand speaking crowd sitting people wearing business attire,A man stands speaking to a crowd of sitting people all wearing business attire
