label,final,fullnopunc
contradiction,old man package pose front advertisement,An old man with a package poses in front of an advertisement
contradiction,calf roping cowboy call horse,During calf roping a cowboy calls off his horse
contradiction,people jump mountain crevasse rope,People jump over a mountain crevasse on a rope
contradiction,man looking bicycle rear wheel maintenance garage various tool visible background,A man looking over a bicycles rear wheel in the maintenance garage with various tools visible in the background
contradiction,three people sit bench station man look oddly two woman redheaded woman look forward awkward position yellow blond girl twiddle hair,Three people sit on a bench at a station the man looks oddly at the two women the redheaded women looks up and forward in an awkward position and the yellow blond girl twiddles with her hair
contradiction,three girl blow candle cake made peep,Three girls blow out the candles of a cake made of Peeps
contradiction,man woman taking picture woman scarf walk them,A man and woman are taking a picture of themselves while a woman in a scarf walks by them
contradiction,child library step,This child is on the library steps
contradiction,group adult stand bathroom looking small child bath,A group of adults stands in the bathroom looking down a small child in the bath
contradiction,frowning old man military cap civilian suit stand amongst crowd people outdoors carrying sign balloon,A frowning old man in a military cap and a civilian suit stands amongst a crowd of people outdoors carrying signs and balloons
contradiction,biker race,A biker races
contradiction,golden dog pass blue ball another golden dog beach,A golden dog passes a blue ball to another golden dog on the beach
contradiction,everyone street city seem busy thing,Everyone on the street in the city seem to be busy doing their own thing
contradiction,people riding bicycle street wearing helmet,People are riding bicycles in the street and they are all wearing helmets
contradiction,guy girl look mountain range,A guy and a girl look down a mountain range
contradiction,standing man talk seated woman sort vehicle,A standing man talks to a seated woman while on some sort of vehicle
contradiction,several men bar watch sport game television,Several men at a bar watch a sports game on the television
contradiction,two roadside worker lime green safety jacket white hard hat glove construction cone background,Two roadside workers with lime green safety jackets white hard hats and gloves on with construction cones in the background
contradiction,climber wearing red headband pulling gray rock high green foliage,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage
contradiction,old shoemaker factory,an old shoemaker in his factory
contradiction,four young girl playing water,Four young girls playing in the water
contradiction,four boy hit approaching wave,Four boys are about to be hit by an approaching wave
contradiction,couple enjoying meal bunch dog take nap,couples enjoying a meal while a bunch of dogs take a nap
contradiction,white duck expanding wing water,A white duck expanding its wings in the water
