label,final,fullnopunc
neutral,church choir sings mass sing joyous song book church,This church choir sings to the masses as they sing joyous songs from the book at a church
neutral,blond-haired doctor african american assistant looking threw new medical manual,A blond-haired doctor and her African american assistant looking threw new medical manuals
neutral,one tan girl wool hat running leaning object another person wool hat sitting ground,One tan girl with a wool hat is running and leaning over an object while another person in a wool hat is sitting on the ground
neutral,person wearing straw hat standing outside working steel apparatus pile coconut ground,A person wearing a straw hat standing outside working a steel apparatus with a pile of coconuts on the ground
neutral,two child laying rug wooden brick laid square them,Two children re laying on a rug with some wooden bricks laid out in a square between them
neutral,people jump mountain crevasse rope,People jump over a mountain crevasse on a rope
neutral,snowboarder wide plain snow,A snowboarder on a wide plain of snow
neutral,snowboarder wide plain snow,A snowboarder on a wide plain of snow
neutral,man black shirt overlooking bike maintenance,A man in a black shirt overlooking bike maintenance
neutral,ford car making right turn 3 male walking across street behind car,A Ford car is making a right turn as 3 males are walking across the street behind the car
neutral,old woman watch man look ball ground,An old woman watches a man look down at some balls on the ground
neutral,guy riding motorcycle near junk car,A guy riding a motorcycle near junk cars
neutral,professional swimmer spit water surfacing grabbing hand someone helping back land,A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land
neutral,man black wetsuit walking water,The man in the black wetsuit is walking out of the water
neutral,person purple shirt painting image woman white wall,A person with a purple shirt is painting an image of a woman on a white wall
neutral,person purple shirt painting image woman white wall,A person with a purple shirt is painting an image of a woman on a white wall
neutral,two woman walk sidewalk along busy street downtown area,Two women walk down a sidewalk along a busy street in a downtown area
neutral,flight attendant dressed yellow demonstrates life vest usage,The flight attendant dressed in yellow demonstrates life vest usage
neutral,man cloth put black substance man forehead,A man of the cloth puts a black substance on a mans forehead
neutral,six dog swimming river,Six dogs swimming in a river
neutral,bird flapping wing water,A bird is flapping its wings on the water
neutral,child library step,This child is on the library steps
neutral,tattooed basketball player dunk ball,The tattooed basketball player is about to dunk the ball
neutral,several younger people sitting front statue,Several younger people sitting in front of a statue
neutral,several younger people sitting front statue,Several younger people sitting in front of a statue
neutral,basketball player green shoe dunking ball net arena crowd look on,A basketball player with green shoes is dunking the ball in the net while the arena crowd looks on
neutral,guy wearing jean hat crouching handrail concrete embankment located front him,A guy wearing jeans and a hat is crouching on a handrail with a concrete embankment located in front of him
neutral,group people gathered night watching event,A group of people gathered at night watching an event
neutral,man black shirt commercial kitchen holding meat took bag,A man in a black shirt in a commercial kitchen holding up meat he took out of a bag
neutral,person red shirt mowing grass green riding mower,A person in a red shirt is mowing the grass with a green riding mower
neutral,group people wearing black shirt riding open top vehicle,Group of people wearing black shirts riding in an open top vehicle
neutral,woman red white wearing glass sits room people,A woman in red and white and wearing glasses sits in a room with other people
neutral,woman weaving comb hand,A woman is weaving with a comb in her hand
neutral,birthday party many little people enjoy,A birthday party for many little people to enjoy
neutral,birthday party many little people enjoy,A birthday party for many little people to enjoy
neutral,two woman volleyball team competing salmon-colored turquoise court referee black watch,Two womens volleyball teams are competing against each other on a salmon-colored and turquoise court while a referee in black watches
neutral,little boy blue bike helmet woman green bike helmet riding bike street various bike rider,A little boy with a blue bike helmet and a woman in a green bike helmet are riding bikes down a street with other various bike riders
neutral,woman black shirt looking bicycle,a woman in a black shirt looking at a bicycle
neutral,young boy green blue jersey kick around soccer ball soccer game take place background,Young boys in green and blue jerseys kick around a soccer ball while other soccer games take place in the background
neutral,golden retriever nurse puppy,A golden retriever nurses puppies
neutral,young man heavy brown winter coat stand front blue railing arm spread,A young man in a heavy brown winter coat stands in front of a blue railing with his arms spread
neutral,man brown jacket stand arm spread,A man in a brown jacket stands with his arms spread
neutral,child yellow sport uniform climbing tower,Children in yellow sports uniforms climbing a tower
neutral,crowded city street lot pedestrian,A crowded city street with lots of pedestrians
neutral,group people rowboat ocean surrounded seagull,A group of people are in a rowboat in the ocean surrounded by seagulls
neutral,men sitting side brick road,Men sitting on the side of a brick road
neutral,young girl yellow top flowered skirt standing blanket biting toy,A young girl in a yellow top and a flowered skirt is standing on a blanket and biting on a toy
neutral,climber wearing red headband pulling gray rock high green foliage,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage
